Value Proposition,,Application,APAC,EMEA,MEX,SA,US & Canada,,,,Product Name,Product Description,Selection criteria,Suggested % usage level in formulations,Recommended max usage %,Label declaration,Additional Key Features/Benefits/Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Priority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar replacement/reduction,,Tableted/ Pressed Mints,,,,,US & Canada,,,,UNIDEX® Agglomerated Dextrose,Coarse agglomerated dextrose monohydrate with maltodextrin,Very compressible with excellent friability with above average hardness. Good flow properties for high speed tableting. Very uniform particle size.,98% - 99%,Up to 100% replacement of sucrose,Dextrose with Maltodextrin,"Very uniform, coarse particle size profile, porous, spherical particle shape, free flowing, carrier for flavors, colors, spices, low dusting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar replacement/reduction,,Tableted/ Pressed Mints,,,,,US & Canada,,,,ROYAL-T® Dextrose with Maltodextrin,Specially processed coarseagglomerated dextrose monohydrate with maltodextrin,Very compressible with excellent friability and moderate hardness. Good flow properties for high speed tableting.,98% - 99%,Up to 100% replacement of sucrose,Dextrose with Maltodextrin,"Porous, spherical particle shape, free flowing, carrier for flavors, colors, spices, low dusting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar replacement/reduction,,Tableted/ Pressed Mints,,,,,US & Canada,,,,ENLITEN® TG 302000 High Potency Sweetener,Naturally occurring high potency sweetener extracted from the leaves of Stevia plant. Contains min 95% Reb A. Coarser particle size compared to ENLITEN® 300000. About 200-300 times sweeter than sucrose.,95% Reb A,0.010% - 0.016%,0.010% - 0.016%,Stevia Leaf Extract,"Natural, non caloric HPS for sugar free/reduced sugar applications; clean, sweet taste at low conc., bitter/licorice flavor at higher conc., some sweetness lingering.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar replacement/reduction,,Tableted/ Pressed Mints,,,,,US & Canada,,,,ENLITEN® TG 302100 High Potency Sweetener,Naturally occurring high potency sweetener extracted from the leaves of Stevia plant. Contains min 97% Reb A. Coarser particle size compared to ENLITEN® 302000. About 200-300 times sweeter than sucrose.,97% Reb A,0.010% - 0.016%,0.010% - 0.016%,Stevia Leaf Extract,"Natural, non caloric HPS for sugar free/reduced sugar applications; clean, sweet taste at low conc., bitter/licorice flavor at higher conc., some sweetness lingering.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar replacement/reduction,,Chocolate/ Compound Coating,,,,,US & Canada,,,,MALTISWEET® CM40 Crystalline Maltitol,"Crystalline maltitol used as bulking agent in various sugar free, reduced sugar applications. 2.1 kcal/g. 90% as sweet as sucrose. Used to directly replace baker's special sugar. Humectant, Soluble in water, Sweetness profile very similar to sucrose.",Coarser particle size compared to MALTISWEET® CM100. Less expensive than MALTISWEET® CM9820.,30% - 55%,Up to 100% replacement of sucrose,Maltitol,"Non-browning, Non-cariogenic, Tablet and/or capsule diluent, Primary bulking agent in sugar free, reduced sugar applications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar replacement/reduction,,Chocolate/ Compound Coating,,,,,US & Canada,,,,ENLITEN® 300000 High Potency Sweetener,Naturally occurring high potency sweetener extracted from the leaves of Stevia plant. Contains min 95% Reb A. About 200-300 times sweeter than sucrose.,95% Reb A,0.01% - 0.06%,0.01% - 0.06%,Stevia Leaf Extract,"Natural, non caloric HPS for sugar free/reduced sugar applications; clean, sweet taste at low conc., bitter/licorice flavor at higher conc., some sweetness lingering.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar replacement/reduction,,Chocolate/ Compound Coating,,,,,US & Canada,,,,ENLITEN® 300100 High Potency Sweetener,Naturally occurring high potency sweetener extracted from the leaves of Stevia plant. Contains min 97% Reb A. About 200-300 times sweeter than sucrose.,97% Reb A,0.01% - 0.06%,0.01% - 0.06%,Stevia Leaf Extract,"Natural, non caloric HPS for sugar free/reduced sugar applications; clean, sweet taste at low conc., bitter/licorice flavor at higher conc., some sweetness lingering.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar replacement/reduction,,Chocolate/ Compound Coating,,,,,US & Canada,,,,ERYLITE® C40 Crystalline Erythritol,Zero calorie sugar alcohol that is 60-70% as sweet as sucrose. Low in solubility and has a strong cooling effect. Clean sweet taste similar to sucrose. Highest digestive tolerance of all polyols. Low glycemic. Non-browning. Non-cariogenic.,Mainly preferred to be used with stevia for naturally sweetened chocolate. Recommended to be used for partial replacement due to considerable cooling effect.,30% - 55% ,Up to 100% replacement of sucrose,Erythritol,Can be combined with maltitol or sugar for reduced calorie compound chocolate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar replacement/reduction,,Chocolate/ Compound Coating,,,,,US & Canada,,,,CERELOSE® Anhydrous Dextrose,"High purity, food grade anhydrous dextrose, DE>99.8, free flowing, clean and mild sweetness for economical sugar replacement.",Cost savings against sucrose,7.5% - 15%,25% - 30% replacement of sucrose,Dextrose,"Exceptional purity, minimizes moisture interference, clean, mild sweetness.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar replacement/reduction,,Chocolate/ Compound Coating,,,,,US & Canada,,,,CERELOSE® Anhydrous Dextrose M NON-GMO IP,General purpose food grade anhydrous dextrose produced under Ingredion Incorporated’s TrueTrace™ Program for non-GM products.,TrueTrace™ certified non-GM,7.5% - 15%,25% - 30% replacement of sucrose,Dextrose,"Exceptional purity, minimizes moisture interference, clean, mild sweetness.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
