Value Proposition,,Application,APAC,EMEA,MEX,SA,US & Canada,,,,Product Name,Product Description,Selection criteria,Suggested % usage level in formulations,Recommended max usage %,Label declaration,Additional Key Features/Benefits/Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Priority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar replacement/reduction,,Hard Candy/ Lozenges,,,,,US & Canada,,,,HYSTAR® 3375 Polyglycitol Syrup,"Typically a mixture of 15% sorbitol, 20% maltitol, 65% higher molecular weight polyols. 3 kcal/g (d.b.)  that imparts high stability and high viscosity. 50% as sweet as sucrose. 2 additional versions available where HPSs are included for added sweetness: HYSTAR® 3375S (with sucralose); HYSTAR® 3375AS (with Ace-K and Sucralose)",Can replace isomalt in sugar-free candies. Cost advantage over MALTISWEET® B and HYSTAR® 5875 Maltitol Syrups. Provides hard candy stability due to high polymer length.,Up to 98%,"Up to 100% replacement of sucrose and corn syrup

(for even better stability can be used in combination with isomalt in hard candy) ",Polyglycitol Syrup or Hydrogenated Starch Hydrolysate,"Crystal. control, sweetness, texture, stability. Non-reactive, Functional alternative to corn syrup and/or isomalt, Excellent stabilizing agent, Viscosity aid, Binder, Carrier for flavors and actives.

Need to add HPS for sweetness compensation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar replacement/reduction,,Hard Candy/ Lozenges,,,,,US & Canada,,,,MALTISWEET® B Maltitol Syrup,"Maltitol syrup containing maltitol, sorbitol and high molecular weight polymers; At least 50% maltitol, not more than 8% sorbitol. 50% sweetness vs. sucrose. 3kcal/gr (d.b.).","Higher maltitol content compared to HYSTAR® 3375, so less temperature/relative humidity stability during shelf-life. Higher in sweetness and lower in viscosity compared to HYSTAR® 3375.",Up to 98%,"Up to 100% replacement of sucrose and corn syrup

(for even better stability can be used in combination with isomalt in hard candy) ",Maltitol Syrup,"Non-crystallizing, Humectant, Texturizing agent, Stabilizing aid, Non-reactive, Non-cariogenic, Sweetness and taste similar to sugar, Replacement for sugar and corn syrup.

Maltitol syrups typically replace medium and high DE corn syrups in sugar free and reduced sugar confections due to the balance of small and large molecular weight material.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar replacement/reduction,,Hard Candy/ Lozenges,,,,,US & Canada,,,,HYSTAR® 5875 Maltitol Syrup,"Maltitol syrup containing maltitol, sorbitol and high molecular weight polymers; At least 55% maltitol, not more than 8% sorbitol, 60% sweetness vs. sucrose. 3kcal/gr (d.b.).","Slightly higher maltitol content compared to MALTISWEET® B, so slightly less stable, but more sweet.",Up to 98%,"Up to 100% replacement of sucrose and corn syrup

(for even better stability can be used in combination with isomalt in hard candy) ",Maltitol Syrup,"Non-crystallizing, Humectant, Texturizing agent, Stabilizing aid, Non-reactive, Non-cariogenic, Sweetness and taste similar to sugar, Replacement for sugar and corn syrup.

Maltitol syrups typically replace medium and high DE corn syrups in sugar free and reduced sugar confections due to the balance of small and large molecular weight material.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar replacement/reduction,,Hard Candy/ Lozenges,,,,,US & Canada,,,,STABILITE® SD30 Polyglycitol Powder,"STABILITE® SD30 is a polyglycitol in spray-dried form. It is a low sweetness powder that is higher in molecular weight and lower in hygroscopicity than typical polyglycitol products.E21 It can be dissolved in water to produce clear, non-crystallizing syrups at concentrations up to 75%.",Increases viscosity for better processing; provides crystallization control similar to polyglycitol syrups. Increases digestive tolerance. Increases residence time in mouth for lozenges.,10% - 40%,Up to 100% replacement of sucrose and corn syrup when combined with isomalt,Polyglycitol or Hydrogenated Starch Hydrolysate,"Very water soluble, Low sweetness, No cooling effect, Non-reactive, Carrier for sensitive flavors and colors, Binder, Stabilizing aid, Viscosity agent, Dispersability aid, Bulking agent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar replacement/reduction,,Hard Candy/ Lozenges,,,,,US & Canada,,,,ENLITEN® 300000 High Potency Sweetener,Naturally occurring high potency sweetener extracted from the leaves of Stevia plant. Contains min 95% Reb A. About 200-300 times sweeter than sucrose.,95% Reb A,0.01% - 0.06%,0.01% - 0.06%,Stevia Leaf Extract,"Natural, non caloric HPS for sugar free/reduced sugar applications; clean, sweet taste at low conc., bitter/licorice flavor at higher conc., some sweetness lingering.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar replacement/reduction,,Hard Candy/ Lozenges,,,,,US & Canada,,,,ENLITEN® 300100 High Potency Sweetener,Naturally occurring high potency sweetener extracted from the leaves of Stevia plant. Contains min 97% Reb A. About 200-300 times sweeter than sucrose.,97% Reb A,0.01% - 0.06%,0.01% - 0.06%,Stevia Leaf Extract,"Natural, non caloric HPS for sugar free/reduced sugar applications; clean, sweet taste at low conc., bitter/licorice flavor at higher conc., some sweetness lingering.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar replacement/reduction,,Soft/ Chewy/ Gummy/ Jelly candy,,,,,US & Canada,,,,HYSTAR® 4075 Polyglycitol Syrup,"Typically a mixture of 13% sorbitol, 35% maltitol, 52% higher molecular weight polyols. 3 kcal/g (d.b.)  that imparts high stability and high viscosity. 50% as sweet as sucrose.",Used in making sugar-free soft candy. Cost advantage over MALTISWEET® B and HYSTAR® 5875 Maltitol Syrups.,45% - 50%,Up to 100% replacement of corn syrup,Polyglycitol Syrup or Hydrogenated Starch Hydrolysate,"Crystal. control, sweetness, texture, stability. Non-reactive, Functional alternative to corn syrup and/or isomalt, Excellent stabilizing agent, Viscosity aid, Binder, Carrier for flavors and actives.

Need to add HPS for sweetness compensation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar replacement/reduction,,Soft/ Chewy/ Gummy/ Jelly candy,,,,,US & Canada,,,,MALTISWEET® B Maltitol Syrup,"Maltitol syrup containing maltitol, sorbitol and high molecular weight polymers; At least 50% maltitol, not more than 8% sorbitol. 50% sweetness vs. sucrose. 3kcal/gr (d.b.).","Higher maltitol content compared to HYSTAR® 3375, so less temperature/relative humidity stability during shelf-life. Higher in sweetness and lower in viscosity compared to HYSTAR® 3375.",45% - 50%,Up to 100% replacement of corn syrup,Maltitol Syrup,"Non-crystallizing, Humectant, Texturizing agent, Stabilizing aid, Non-reactive, Non-cariogenic, Sweetness and taste similar to sugar, Replacement for sugar and corn syrup.

Maltitol syrups typically replace medium and high DE corn syrups in sugar free and reduced sugar confections due to the balance of small and large molecular weight material.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar replacement/reduction,,Soft/ Chewy/ Gummy/ Jelly candy,,,,,US & Canada,,,,HYSTAR® 5875 Maltitol Syrup,"Maltitol syrup containing maltitol, sorbitol and high molecular weight polymers; At least 55% maltitol, not more than 8% sorbitol, 60% sweetness vs. sucrose. 3kcal/gr (d.b.).","Slightly higher maltitol content compared to MALTISWEET® B, so slightly less stable, but more sweet.",45% - 50%,Up to 100% replacement of corn syrup,Maltitol Syrup,"Non-crystallizing, Humectant, Texturizing agent, Stabilizing aid, Non-reactive, Non-cariogenic, Sweetness and taste similar to sugar, Replacement for sugar and corn syrup.

Maltitol syrups typically replace medium and high DE corn syrups in sugar free and reduced sugar confections due to the balance of small and large molecular weight material.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar replacement/reduction,,Soft/ Chewy/ Gummy/ Jelly candy,,,,,US & Canada,,,,ENLITEN® 300000 High Potency Sweetener,Naturally occurring high potency sweetener extracted from the leaves of Stevia plant. Contains min 95% Reb A. About 200-300 times sweeter than sucrose.,95% Reb A,0.01% - 0.06%,0.01% - 0.06%,Stevia Leaf Extract,"Natural, non caloric HPS for sugar free/reduced sugar applications; clean, sweet taste at low conc., bitter/licorice flavor at higher conc., some sweetness lingering.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar replacement/reduction,,Soft/ Chewy/ Gummy/ Jelly candy,,,,,US & Canada,,,,ENLITEN® 300100 High Potency Sweetener,Naturally occurring high potency sweetener extracted from the leaves of Stevia plant. Contains min 97% Reb A. About 200-300 times sweeter than sucrose.,97% Reb A,0.01% - 0.06%,0.01% - 0.06%,Stevia Leaf Extract,"Natural, non caloric HPS for sugar free/reduced sugar applications; clean, sweet taste at low conc., bitter/licorice flavor at higher conc., some sweetness lingering.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar replacement/reduction,,Caramel,,,,,US & Canada,,,,MALTISWEET® B Maltitol Syrup,"Maltitol syrup containing maltitol, sorbitol and high molecular weight polymers; At least 50% maltitol, not more than 8% sorbitol. 50% sweetness vs. sucrose. 3kcal/gr (d.b.).",Slightly firmer caramel compared to MALTISWEET® 3145.,As desired,Up to 100% replacement of corn syrup,Maltitol Syrup,"Non-crystallizing, Humectant, Texturizing agent, Stabilizing aid, Non-reactive, Non-cariogenic, Sweetness and taste similar to sugar, Replacement for sugar and corn syrup.

Maltitol syrups typically replace medium and high DE corn syrups in sugar free and reduced sugar confections due to the balance of small and large molecular weight material.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar replacement/reduction,,Caramel,,,,,US & Canada,,,,MALTISWEET® 3145 Maltitol Syrup,"Maltitol syrup containing maltitol, sorbitol and high molecular weight polymers; At least 60% maltitol, not more than 5% sorbitol. 70-80% sweetness vs. sucrose. 3kcal/gr (d.b.).",Slightly softer caramel compared to MALTISWEET® B. More sweetness compared to MALTISWEET® B.,As desired,Up to 100% replacement of corn syrup,Maltitol Syrup,"Non-crystallizing, Humectant, Texturizing agent, Stabilizing aid, Non-reactive, Non-cariogenic, Sweetness and taste similar to sugar, Replacement for sugar and corn syrup.

Maltitol syrups typically replace medium and high DE corn syrups in sugar free and reduced sugar confections due to the balance of small and large molecular weight material.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar replacement/reduction,,Caramel,,,,,US & Canada,,,,ENLITEN® 300000 High Potency Sweetener,Naturally occurring high potency sweetener extracted from the leaves of Stevia plant. Contains min 95% Reb A. About 200-300 times sweeter than sucrose.,95% Reb A,0.01% - 0.06%,0.01% - 0.06%,Stevia Leaf Extract,"Natural, non caloric HPS for sugar free/reduced sugar applications; clean, sweet taste at low conc., bitter/licorice flavor at higher conc., some sweetness lingering.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar replacement/reduction,,Caramel,,,,,US & Canada,,,,ENLITEN® 300100 High Potency Sweetener,Naturally occurring high potency sweetener extracted from the leaves of Stevia plant. Contains min 97% Reb A. About 200-300 times sweeter than sucrose.,97% Reb A,0.01% - 0.06%,0.01% - 0.06%,Stevia Leaf Extract,"Natural, non caloric HPS for sugar free/reduced sugar applications; clean, sweet taste at low conc., bitter/licorice flavor at higher conc., some sweetness lingering.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar replacement/reduction,,Marshmallow,,,,,US & Canada,,,,HYSTAR® 5875 Maltitol Syrup,"Maltitol syrup containing maltitol, sorbitol and high molecular weight polymers; At least 55% maltitol, not more than 8% sorbitol, 60% sweetness vs. sucrose. 3kcal/gr (d.b.).","Slightly lower maltitol content compared to MALTISWEET® 3145, so slightly more stable, but less sweet.",40% - 45%,Up to 100% replacement of corn syrup,Maltitol Syrup,"Non-crystallizing, Humectant, Texturizing agent, Stabilizing aid, Non-reactive, Non-cariogenic, Sweetness and taste similar to sugar, Replacement for sugar and corn syrup.

Maltitol syrups typically replace medium and high DE corn syrups in sugar free and reduced sugar confections due to the balance of small and large molecular weight material.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar replacement/reduction,,Marshmallow,,,,,US & Canada,,,,MALTISWEET® 3145 Maltitol Syrup,"Maltitol syrup containing maltitol, sorbitol and high molecular weight polymers; At least 60% maltitol, not more than 5% sorbitol. 70-80% sweetness vs. sucrose. 3kcal/gr (d.b.).","Slightly higher maltitol content compared to HYSTAR® 5875, slightly more sweet.",40% - 45%,Up to 100% replacement of corn syrup,Maltitol Syrup,"Non-crystallizing, Humectant, Texturizing agent, Stabilizing aid, Non-reactive, Non-cariogenic, Sweetness and taste similar to sugar, Replacement for sugar and corn syrup.

Maltitol syrups typically replace medium and high DE corn syrups in sugar free and reduced sugar confections due to the balance of small and large molecular weight material.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar replacement/reduction,,Marshmallow,,,,,US & Canada,,,,MALTISWEET® CM40 Crystalline Maltitol,"Crystalline maltitol used as bulking agent in various sugar free, reduced sugar applications. 2.1 kcal/g. 90% as sweet as sucrose. Used to directly replace baker's special sugar. Humectant, Soluble in water, Sweetness profile very similar to sucrose.",Coarser particle size compared to MALTISWEET® CM100. Less expensive than MALTISWEET® CM9820.,40% - 45%,Up to 100% replacement of sucrose,Maltitol,"Non-browning, Non-cariogenic, Tablet and/or capsule diluent, Primary bulking agent in sugar free & reduced sugar applications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar replacement/reduction,,Marshmallow,,,,,US & Canada,,,,ENLITEN® 300000 High Potency Sweetener,Naturally occurring high potency sweetener extracted from the leaves of Stevia plant. Contains min 95% Reb A. About 200-300 times sweeter than sucrose.,95% Reb A,0.01% - 0.06%,0.01% - 0.06%,Stevia Leaf Extract,"Natural, non caloric HPS for sugar free/reduced sugar applications; clean, sweet taste at low conc., bitter/licorice flavor at higher conc., some sweetness lingering.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar replacement/reduction,,Marshmallow,,,,,US & Canada,,,,ENLITEN® 300100 High Potency Sweetener,Naturally occurring high potency sweetener extracted from the leaves of Stevia plant. Contains min 97% Reb A. About 200-300 times sweeter than sucrose.,97% Reb A,0.01% - 0.06%,0.01% - 0.06%,Stevia Leaf Extract,"Natural, non caloric HPS for sugar free/reduced sugar applications; clean, sweet taste at low conc., bitter/licorice flavor at higher conc., some sweetness lingering.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar replacement/reduction,,Panning,,,,,US & Canada,,,,MALTISWEET® CM40 Crystalline Maltitol,"Crystalline maltitol used as bulking agent in various sugar free, reduced sugar applications. 2.1 kcal/g. 90% as sweet as sucrose. Used to directly replace baker's special sugar. Humectant, Soluble in water, Sweetness profile very similar to sucrose.",Coarser particle size compared to MALTISWEET® CM100. Less expensive than MALTISWEET® CM9820.,100% in 70% solution,Up to 100% replacement of sucrose,Maltitol,"Non-browning, Non-cariogenic, Tablet and/or capsule diluent, Primary bulking agent in sugar free & reduced sugar applications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar replacement/reduction,,Panning,,,,,US & Canada,,,,CERELOSE® Dextrose,"High quality, general purpose crystalline monohydrate dextrose, DE>99.5","Provides harder texture, simpler processing, reduced production time than sucrose in panning application.",100% in 70% solution,Up to 100% replacement of sucrose,Dextrose,"Dry crystalline powder, free flowing, flavor enhancement; non-masking, highly fermentable, high osmolarity, high reducing capacity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar replacement/reduction,,Panning,,,,,US & Canada,,,,CERELOSE® Dextrose Monohydrate M NON-GMO IP,General purpose crystalline monohydrate dextrose produced under Ingredion Incorporated’s TrueTrace™ Program for non-GM products.,TrueTrace™ certified non-GM dextrose monohydrate,100% in 70% solution,Up to 100% replacement of sucrose,Dextrose,"Dry crystalline powder, free flowing, flavor enhancement; non-masking, highly fermentable, high osmolarity, high reducing capacity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar replacement/reduction,,Fondant/ Cremes/ Marzipan,,,,,US & Canada,,,,MALTISWEET® CM40 Crystalline Maltitol,"Crystalline maltitol used as bulking agent in various sugar free, reduced sugar applications. 2.1 kcal/g. 90% as sweet as sucrose. Used to directly replace baker's special sugar. Humectant, Soluble in water, Sweetness profile very similar to sucrose.",Coarser particle size compared to MALTISWEET® CM100. Less expensive than MALTISWEET® CM9820.,As desired,Up to 100% replacement of sucrose,Maltitol,"Non-browning, Non-cariogenic, Tablet and/or capsule diluent, Primary bulking agent in sugar free & reduced sugar applications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar replacement/reduction,,Fondant/ Cremes/ Marzipan,,,,,US & Canada,,,,MALTISWEET® CM100 Crystalline Maltitol,"Crystalline maltitol used as bulking agent in various sugar free, reduced sugar applications. 2.1 kcal/g. 90% as sweet as sucrose. Used to replace powdered sugar. Humectant, Soluble in water, Sweetness profile very similar to sucrose.","Finer particle size compared to MALTISWEET® CM40. Because of smaller particle size, provides a smooth, less gritty mouthfeel.",As desired,Up to 100% replacement of sucrose,Maltitol,"Non-browning, Non-cariogenic, Tablet and/or capsule diluent, Primary bulking agent in sugar free & reduced sugar applications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
